,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
13,all of me.mp3,sad,123.046875,149011,1241.758333,0.22301276,0.296808193,0.088095104,0.392170881,0.28882404,0.083419326,0.233375853,0.169908931,0.028869045,9.488211704,64.47543004,4157.081078,-9.143643928,48.06704962,2310.441259,0.006407212,2.675401072,7.157770896,0.190895006,0.073919818,0.005464139,1732.783477,787.5844609,620289.283,2058.060102,622.3360528,387302.1626,25.26200452,6.485604139,42.06306105,3637.523838,1930.329128,3726170.542,1.71941165,2.019202917,4.077180422,0.002471445,0.103563575,0.010725414,0.067309306,0.041971364,0.001761595,-1.17E-05,0.188204423,0.035420902,-6.22E-05,0.047813639,0.002286144,6.178829932,3.248652563,10.55374348,unknown,John Legend,All Of Me,Love in the Future (Deluxe Edition),0.264,0.0322,0.331,0.422,0.922,0,119.93,0.132,-7.064
14,Beautiful.mp3,relax,151.9990809,181162,1240.835616,0.293966577,0.293307513,0.086029297,0.340213757,0.289954476,0.084073598,0.208965905,0.199164715,0.039666584,6.431518088,33.51365142,1123.164832,0.590644047,56.13506917,3151.145991,0.011936214,2.343532646,5.492145263,0.161444381,0.05202378,0.002706473,1401.95847,824.1844706,679280.0417,1877.042362,632.3677799,399889.009,24.05415306,6.270978267,39.32516843,2726.946011,1683.812381,2835224.134,1.601080462,1.944335347,3.780439941,0.019265254,0.107402102,0.011535212,0.05834772,0.04813623,0.002317097,2.25E-06,0.150592789,0.022678189,7.58E-05,0.048800338,0.002381473,2.598312925,1.933176624,3.737171858,unknown,Christina Aguilera,Beautiful,Stripped,0.573,0.0275,0.0992,0.457,0.578,3.05E-06,76.193,0.114,-3.866
15,American Authors - Best Day Of My Life.mp3,happy,99.38401442,126240,1275.151515,0.379109145,0.294520768,0.086742483,0.592934519,0.244529584,0.059794718,0.273853327,0.091310944,0.008337689,22.51175777,120.059795,14414.35438,7.611761106,32.13394028,1032.590118,0.00923644,2.828115979,7.998239991,0.30962342,0.077622123,0.006025194,2136.410967,662.6046343,439044.9014,2381.684242,452.3694209,204638.093,19.92883315,7.228947084,52.25767594,4701.325738,1587.208829,2519231.866,3.85281792,4.382439695,19.20577768,-0.000782143,0.049031044,0.002404043,0.082779356,0.040181813,0.001614578,2.33E-06,0.247436374,0.061224762,0.000528998,0.124460384,0.015490387,2.34985941,1.372544856,1.883879381,unknown,American Authors,Best Day Of My Life,Best Day Of My Life,0.902,0.0347,0.521,0.673,0.0629,0.000174,100.016,0.0552,-2.378
17,The Drums - Down By The Water.mp3,angry,80.74951172,92775,1220.723684,0.262399723,0.301648852,0.09099203,0.42502922,0.286452078,0.082054793,0.232769947,0.17073806,0.029151485,11.38379504,70.85821277,5020.886317,-0.436422994,41.63783394,1733.709215,0.008281402,2.351485045,5.529481918,0.207559854,0.080686487,0.006510309,2139.844216,795.0954648,632176.7981,2543.547803,470.2967423,221179.0258,21.64825676,6.832446441,46.68232437,5113.760744,1728.43928,2987502.344,2.043824473,2.507698665,6.288552597,0.000211848,0.085302296,0.007276482,0.068469919,0.038120016,0.001453136,-3.44E-07,0.192405999,0.037020069,8.82E-06,0.06440296,0.004147741,7.072798186,3.952281843,15.62053177,tsururadio,The Drums,Down By the Water,Summertime!,0.423,0.0256,0.297,0.31,0.654,0,79.817,0.142,-7.958
19,Justin Timberlake - Not A Bad Thing.mp3,happy,86.1328125,107300,1277.380952,0.398108472,0.303136114,0.091891504,0.443194504,0.294026741,0.086451725,0.242252529,0.156993775,0.024647045,13.72377754,118.1066515,13949.18113,3.593711105,35.28490616,1245.024603,0.011911753,2.907954813,8.456201194,0.219738096,0.111307785,0.012389423,2136.047721,891.9791874,795626.8708,2423.550901,510.8223484,260939.4716,20.48161929,6.782121304,45.99716939,4567.07655,1959.705294,3840444.839,2.516230546,3.18861129,10.16724196,0.016026824,0.083189295,0.006920459,0.084916342,0.064074037,0.004105482,5.22E-06,0.164298385,0.026993958,4.95E-05,0.129800871,0.016848268,2.299936508,1.154138614,1.332035939,unknown,Justin Timberlake,Not a Bad Thing,Not a Bad Thing,0.729,0.0626,0.459,0.594,0.271,0,86.032,0.383,-5.774
21,ThePixiesHereComesYourMan.mp3,happy,123.046875,159398,1285.467742,0.426294164,0.277137151,0.076805,0.538347926,0.26406119,0.069728312,0.265690904,0.112879038,0.012741677,1.528087118,7.035273491,49.4950731,0.911020697,39.18233583,1535.255441,0.014036709,2.959334057,8.757658063,0.082515933,0.023481162,0.000551365,2401.663847,777.2518336,604120.4128,2378.42078,461.3575227,212850.7637,20.13656213,6.826698851,46.60381721,4885.878789,1605.575071,2577871.309,1.222776786,1.394345995,1.944200753,-0.004273079,0.05958044,0.003549829,0.120562196,0.057470226,0.003302827,-4.20E-06,0.058683313,0.003443731,-8.43E-05,0.041737076,0.001741984,4.744997732,1.804330553,3.255608743,Pop,Pixies,Here Comes Your Man,unknown,0.788,0.0294,0.869,0.664,0.0451,0.0416,124.51,0.117,-12.323
24,Cash Cash - Take Me Home.mp3,angry,129.1992188,92225,960.6770833,0.428682572,0.297833151,0.088704586,0.491769436,0.275012325,0.075631779,0.251953288,0.140900227,0.019852874,13.78005459,106.168041,11271.65293,5.609853088,26.7447227,715.2801923,0.012905639,2.751020118,7.568111689,0.228166848,0.106508955,0.011344157,2751.566407,729.3322167,531925.4823,2626.810874,355.9748074,126718.0635,20.37324363,7.72409048,59.66157375,5799.981595,1324.137265,1753339.495,2.652347415,3.171229487,10.05669646,0.012913766,0.059996139,0.003599537,0.112066027,0.063309078,0.004008039,9.11E-06,0.202653959,0.041068625,-4.68E-05,0.097663678,0.009538194,11.0596644,3.127703757,9.782530795,unknown,Cash Cash,Take Me Home (feat. Bebe Rexha) [Jordy Dazz Remix Radio Edit],Take Me Home Remixes (feat. Bebe Rexha),0.912,0.0574,0.236,0.615,0.00344,0.000344,128.071,0.398,-5.864
25,Statue.mp3,sad,117.4538352,151286,1282.084746,0.373466427,0.298469394,0.089083979,0.422500334,0.286583867,0.082130313,0.237400817,0.164238198,0.026974186,6.398606263,47.29772922,2237.075189,1.428642358,49.67699074,2467.803409,0.012467756,3.73267491,13.93286199,0.151030362,0.068651371,0.004713011,1533.721083,797.059686,635304.143,2015.072389,627.1610707,393331.0087,22.64509445,7.009564228,49.13399067,3292.850922,1847.466918,3413134.012,1.630240237,2.080314893,4.327710053,0.021415114,0.091314134,0.008338271,0.050511977,0.037660358,0.001418303,-6.87E-07,0.120320521,0.014477028,-1.30E-05,0.079601288,0.006336365,4.209777778,2.508304366,6.291590792,Indie,Smile Smile,Statue,Marry A Stranger,0.313,0.0307,0.362,0.74,0.223,0.143,120.09,0.195,-10.038
27,She will be loved.mp3,happy,103.359375,121426,1239.040816,0.313591534,0.305942464,0.093600791,0.474365719,0.284943046,0.081192539,0.250760596,0.143012086,0.020452457,10.08352703,62.16393634,3864.354982,0.78363573,49.81537174,2481.571261,0.01207641,4.378562889,19.17181297,0.195166022,0.075729236,0.005734918,1913.954871,1049.889054,1102267.026,2394.851025,598.075877,357694.7546,23.27139403,7.005730715,49.08026285,4109.208486,2377.438096,5652211.902,1.804154726,2.24846355,5.055588335,-0.000771501,0.081286,0.006607414,0.068871844,0.062500936,0.003906367,2.61E-06,0.172701165,0.029825693,6.13E-05,0.08364962,0.006997259,3.310004535,1.449201904,2.100186158,Funk,Maroon 5,She Will Be Loved,ÎåºÅÖ½ÅÚÀÖÍÅMaroon 5-¸øÕäµÄ¸èSongs For Jane,0.684,0.0288,0.515,0.695,0.0593,0,102.041,0.125,-5.403
30,Creep.mp3,angry,92.28515625,115455,1254.945652,0.396394451,0.305363255,0.093246718,0.457715898,0.296484145,0.087902848,0.241346253,0.158383457,0.025085319,0.985873239,7.715090148,59.522616,-2.119058478,63.51765364,4034.492324,0.013313765,4.393682061,19.30444205,0.060907878,0.026317041,0.000692587,2318.007565,1136.1662,1290873.635,2750.723919,595.4820071,354598.8208,20.44234565,6.146800233,37.7831531,5474.191898,2352.02451,5532019.293,0.547870011,0.747187007,0.558288424,0.028259403,0.086058776,0.007406113,0.076731773,0.080485293,0.006477882,3.97E-05,0.047216687,0.002229416,0.000408016,0.034519661,0.001191607,3.399401361,1.687076322,2.846226515,Alternative,Radiohead,Creep,Pablo Honey (Collector S Editi,0.43,0.0369,0.104,0.515,0.0102,0.000141,91.841,0.129,-9.935
31,How Does It Feel.mp3,angry,117.4538352,149985,1281.923077,0.331330205,0.299620836,0.089772645,0.41387678,0.29204317,0.085289213,0.230841854,0.173336008,0.030045372,6.426785278,53.83884479,2898.621208,-1.583115739,48.79379766,2380.83469,0.010272214,3.618970622,13.09694836,0.153889582,0.071182787,0.005066989,2060.56282,1232.659866,1519450.344,2440.035826,655.1956827,429281.3826,23.272826,6.714159057,45.07993184,4432.63153,2449.790527,6001473.626,1.459248088,1.856007624,3.4447643,0.027078101,0.099226097,0.009845818,0.074963077,0.083949779,0.007047565,5.65E-06,0.135005191,0.018226402,-1.14E-06,0.069872305,0.004882139,2.654040816,1.414838539,2.001768091,Rock,avril lavigne,how does it feel,under my skin,0.583,0.026,0.339,0.646,0.0209,2.40E-06,118.055,0.119,-4.532
32,deconstruction.mp3,sad,123.046875,153258,1266.595041,0.298061611,0.305695833,0.093449942,0.420316727,0.285439344,0.081475619,0.241611473,0.157978573,0.02495723,10.22858819,76.20195655,5806.738182,-3.755188398,51.69228109,2672.091924,0.011395268,3.366728121,11.33485824,0.190383747,0.098958217,0.009792729,1567.493584,1088.520375,1184876.606,1930.995602,576.168737,331970.4135,23.48129033,6.173941252,38.11755058,3034.698316,2001.018882,4004076.567,1.788288413,2.395732505,5.739534234,0.01375502,0.094183186,0.008870473,0.061576725,0.081884056,0.006704999,-0.000467382,0.180299222,0.032507807,-0.00052308,0.078729033,0.00619826,4.350258503,2.134737047,4.55710226,Folk,Justin McRoberts,Deconstruction,Deconstruction,0.347,0.0278,0.341,0.686,0.571,4.53E-05,124.023,0.0974,-7.093
33,bubbly.mp3,relax,129.1992188,160187,1271.325397,0.285136871,0.304616601,0.092791273,0.407129522,0.292148034,0.085350474,0.238864842,0.162101575,0.026276921,12.7132254,70.07158111,4910.026479,-4.762874415,46.34998833,2148.321418,0.012493436,3.417252642,11.67761562,0.222230464,0.086925656,0.007556069,1880.732963,1093.087341,1194839.936,2220.628129,713.6530943,509300.7391,23.80853652,6.749113853,45.5505378,3809.314466,2281.991704,5207486.137,2.152222198,2.757624048,7.604490392,-0.007923848,0.098266254,0.009656257,0.073488785,0.061428697,0.003773485,8.55E-06,0.194402665,0.037792396,3.93E-05,0.095215976,0.009066082,4.150566893,2.398980658,5.755108198,Other,Colbie Caillat,Bubbly,Coco,0.491,0.042,0.24,0.664,0.594,0,127.97,0.11,-6.544
35,everything you want.mp3,happy,95.703125,119601,1286.032258,0.341326683,0.298960105,0.089377145,0.496381316,0.26505889,0.070256215,0.26014207,0.12513767,0.015659437,6.792665687,41.157296,1693.923014,-1.177593535,47.53732695,2259.797453,0.010278023,3.289983331,10.82399032,0.152596533,0.081412815,0.006628047,1849.622478,768.7058852,590908.738,2142.937273,581.829541,338525.6148,20.33915789,6.64757094,44.1901994,3945.659474,1655.012685,2739066.988,1.876645942,2.490076703,6.200481985,-0.002695755,0.070340969,0.004947852,0.076139751,0.050812634,0.002581924,-6.82E-06,0.127303705,0.016206233,4.27E-05,0.074477777,0.005546939,2.122303855,1.049182287,1.100783472,unknown,Vertical Horizon,Everything You Want,unknown,0.759,0.0305,0.741,0.637,0.0504,0,93.898,0.0642,-6.389
36,The Scientist.mp3,sad,73.828125,89172,1255.943662,0.311732833,0.285416912,0.081462814,0.506896411,0.251155898,0.063079285,0.256263035,0.132900678,0.01766259,2.371928937,13.15989766,173.1829065,-8.411163456,55.17193387,3043.942287,0.008735131,2.771396334,7.680637641,0.095787413,0.038637903,0.001492888,1514.805678,836.4750931,699690.5815,1663.907827,637.9445842,406973.2925,24.51423969,6.454481501,41.66033144,3010.698461,1786.992892,3193343.597,1.118091818,1.30032589,1.690847421,-0.008568909,0.084402869,0.007123844,0.074183981,0.052584192,0.002765097,2.66E-07,0.089075975,0.007934529,-6.56E-06,0.029395204,0.000864078,5.784090703,2.946775091,8.683483438,unknown,Coldplay,The Scientist,The Scientist,0.442,0.0243,0.212,0.56,0.727,1.71E-05,146.448,0.11,-7.224
37,miley cyrus - can't be tamed.mp3,angry,117.4538352,145577,1265.886957,0.389907229,0.298203927,0.088925582,0.600942704,0.240118625,0.057656954,0.274860101,0.088234109,0.007785258,14.78974833,93.73588411,8786.415969,6.66411771,21.46951737,460.9401759,0.01255748,2.460072989,6.05195911,0.258569896,0.081952117,0.006716149,3260.511824,768.0563199,589910.5106,3040.241297,261.2557086,68254.54529,18.55400427,6.254642268,39.1205499,7255.047796,1062.394312,1128681.674,3.462182224,3.979471573,15.836194,-0.003686135,0.046388197,0.002151865,0.161090107,0.078479885,0.006159092,5.46E-05,0.168333143,0.028336046,-0.000455353,0.139692441,0.01951398,2.166421769,1.214097246,1.474032123,Other,Miley Cyrus,Can't Be Tamed,Can't Be Tamed,0.919,0.143,0.793,0.637,0.0359,0,116.987,0.22,-2.842
39,Boston.mp3,angry,69.83741554,85583,1258.573529,0.204444491,0.297649916,0.088595472,0.393513588,0.281533456,0.079261087,0.23450161,0.168351799,0.028342328,0.529315553,7.02768074,49.38829658,-14.48677167,83.31216675,6940.917128,0.005006694,2.808399274,7.887106481,0.04073092,0.030308375,0.000918598,1804.95464,1057.653742,1118631.437,1687.969484,867.1633222,751972.2273,23.09034027,7.140617235,50.9884145,3135.351874,2345.13785,5499671.538,0.32662394,0.504906401,0.254930474,0.035107809,0.092238862,0.008508008,0.113016512,0.071355541,0.005091613,1.16E-06,0.044723678,0.002000207,-9.02E-08,0.017840005,0.000318266,2.312707483,1.355564168,1.837554213,unknown,Augustana,Boston,Midwest skies and sleepless mondays,0.571,0.0303,0.29,0.404,0.182,2.08E-05,147.01,0.129,-5.069
42,what I've done.mp3,angry,123.046875,153922,1399.290909,0.38061029,0.298550957,0.089132674,0.472212675,0.279178985,0.077940906,0.245687043,0.151562561,0.02297121,6.946963843,62.12976435,3860.107619,-1.169554399,43.98736847,1934.888585,0.009100347,2.576110925,6.6363475,0.147147253,0.106265351,0.011292324,2635.410285,877.9283668,770758.2173,2469.655306,627.8624408,394211.2446,21.28964961,7.342395723,53.91077496,5503.291722,1804.74078,3257089.284,1.982661544,2.957938192,8.749398349,0.010734302,0.080466186,0.006474807,0.123520417,0.062103955,0.003856901,-1.47E-05,0.136457726,0.018620711,0.000118981,0.079444021,0.006311352,7.36769161,1.438608776,2.069595211,Alternative,Linkin Park,What I've Done,Minutes To Midnight,0.93,0.0324,0.287,0.623,0.0141,1.64E-06,120.119,0.138,-5.285
46,Jason Mraz - 3 Things.mp3,relax,99.38401442,127049,1296.418367,0.337353994,0.305409965,0.093275247,0.475143699,0.28190315,0.079469386,0.255947937,0.133506505,0.017823987,5.8899301,54.97753553,3022.529413,-2.146676659,44.51984257,1982.016383,0.013028546,2.933266504,8.604052384,0.140201181,0.078930676,0.006230052,2241.111395,935.4604526,875086.2585,2549.618099,456.7144979,208588.1326,22.26626442,6.155406784,37.88903267,4910.820305,1816.998029,3301481.836,1.405990132,1.831808546,3.355522549,0.01548627,0.079792727,0.006366879,0.082234008,0.070461533,0.004964828,-1.84E-05,0.111668572,0.01246987,-7.49E-05,0.08481738,0.007193988,2.890884354,1.216191536,1.479121852,unknown,Jason Mraz,3 Things,3 Things,0.604,0.0365,0.71,0.645,0.217,0,100.026,0.286,-8.749
47,Lollipop.mp3,happy,95.703125,119498,1271.255319,0.464148015,0.309187395,0.095596845,0.554561134,0.272917157,0.074483775,0.265034553,0.114411621,0.013090019,12.12954056,97.94172606,9592.581703,4.276200457,41.99451229,1763.539063,0.011406755,4.156588496,17.27722792,0.207232714,0.107610255,0.011579967,2245.415506,1056.665367,1116541.697,2295.644412,492.3131033,242372.1917,20.42029573,8.065927902,65.05919291,4414.448306,1867.420095,3487257.811,2.271944717,2.967982952,8.808922804,0.004732107,0.056181989,0.003156416,0.099628271,0.080286086,0.006445856,2.37E-05,0.152954027,0.023394935,-0.00167657,0.136367798,0.018596178,2.766657596,1.535017708,2.356279365,unknown,Mika,Lollipop,Life In Cartoon Motion,0.596,0.0761,0.879,0.712,0.0302,3.32E-06,95.994,0.13,-5.31
50,"augustana - either way, i'll break your heart someday.mp3",sad,86.1328125,83817,1132.662162,0.390356983,0.292415013,0.08550654,0.507295575,0.265987659,0.070749434,0.258208522,0.129080178,0.016661692,19.8494694,125.1658505,15666.49012,6.917626636,31.7998454,1011.230167,0.011784712,2.553376421,6.519731147,0.292499542,0.059825871,0.003579135,2050.619336,877.2517967,769570.7148,2300.150414,482.9441849,233235.0857,21.10897123,7.020117621,49.28205141,4478.27292,1780.202388,3169120.544,3.357598848,3.582197003,12.83213537,-0.009186807,0.062756358,0.00393836,0.080773699,0.057575775,0.00331497,6.71E-06,0.24457635,0.05981759,-0.00020498,0.097153179,0.00943874,4.585941043,2.611470785,6.81977966,unknown,Augustana,"Either Way, I'll Break Your Heart Someday","Can't Love, Can't Hurt",0.619,0.034,0.218,0.444,0.0369,0,130.169,0.141,-4.913
