,song_name,class,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
18,could this be love.mp3,relax,unknown,Victoria Acosta,Could This Be Love,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Creep.mp3,angry,Alternative,Radiohead,Creep,Pablo Honey (Collector S Editi,0.43,0.0369,0.104,0.515,0.0102,0.000141,91.841,0.129,-9.935
20,deconstruction.mp3,sad,Folk,Justin McRoberts,Deconstruction,Deconstruction,0.347,0.0278,0.341,0.686,0.571,4.53E-05,124.023,0.0974,-7.093
21,bubbly.mp3,relax,Other,Colbie Caillat,Bubbly,Coco,0.491,0.042,0.24,0.664,0.594,0,127.97,0.11,-6.544
22,,sad,unknown,Coldplay,The Scientist,The Scientist,0.442,0.0243,0.212,0.56,0.727,1.71E-05,146.448,0.11,-7.224
23,Boston.mp3,angry,unknown,Augustana,Boston,Midwest skies and sleepless mondays,0.571,0.0303,0.29,0.404,0.182,2.08E-05,147.01,0.129,-5.069
24,Coldplay - Miracles.mp3,sad,unknown,Coldplay,Coldplay - Miracles.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,what I've done.mp3,angry,Alternative,Linkin Park,What I've Done,Minutes To Midnight,0.93,0.0324,0.287,0.623,0.0141,1.64E-06,120.119,0.138,-5.285
26,09  Lady GaGa - Again Again(1).mp3,angry,unknown,unknown,09  Lady GaGa - Again Again(1).mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,won't back down-eminem.mp3,angry,Hip-Hop,Eminem,Won't Back Down Feat. P!ink,www.iHipHopMusic.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,you can trust in me.mp3,happy,Other,Tang nguoi toi yeu,You Can Trust In Me,曾经的歌系列20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,"augustana - either way, i'll break your heart someday.mp3",sad,unknown,Augustana,"Either Way, I'll Break Your Heart Someday","Can't Love, Can't Hurt",0.619,0.034,0.218,0.444,0.0369,0,130.169,0.141,-4.913
30,BLOATED.MP3,happy,unknown,¿ê·.o§°¿¿ÅTËÈÊÕ²Ø,Bloated,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,Valentine.mp3,relax,unknown,Jessie Ware,Valentine,Devotion - The Gold Edition,0.453,0.0708,0.24,0.712,0.711,0.00445,152.984,0.0728,-12.278
32,True Colors.mp3,sad,Pop,Amanda Fondell,True Colors,ðÍð½.Collection,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,We Are Young (feat. Janelle Monáe).mp3,happy,Rock,fun.,We Are Young (feat. Janelle Mo,We Are Young,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,U2 - Invisible.mp3,angry,unknown,unknown,U2 - Invisible.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,05 Can't Stop Looking.mp3,angry,Rock,Cash Cash,Can't Stop Looking,Take It To The Floor,0.878,0.0517,0.592,0.669,0.064,0,119.973,0.674,-3.465
36,communication.mp3,sad,Rock/Pop,The Cardigans,Communication,¦Ï¤ò­m¦X°Û¹ÎThe Cardigans-¾¤©ú¤§«e,0.377,0.0281,0.129,0.491,0.299,0.00046,126.286,0.0802,-9.082
37,Twisted Nerve (Album Version).mp3,relax,unknown,Bernard Herrmann,Twisted Nerve (Album Version),Kill Bill Vol. 1 Original Soundtrack,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,TheSaltwaterRoom.mp3,relax,unknown,Çó¸èÖ®ÈËÉÏ´« - ¹ú¼ÊÔÚÏßÂÛÌ³,The Saltwater Room  - Owl City,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,09 Two Days Old.mp3,angry,Rock,Cash Cash,Two Days Old,Take It To The Floor,0.916,0.0552,0.561,0.42,0.112,0,176.947,0.34,-3.145
40,04 Cash Cash.mp3,happy,Rock,Cash Cash,Cash Cash,Take It To The Floor,0.887,0.0365,0.343,0.65,0.0651,0.000344,108.026,0.282,-3.517
41,arctic monkeys - why'd you only call me when you're high？.mp3,relax,unknown,Arctic Monkeys,Why'd You Only Call Me When Yo,Why'd You Only Call Me When Yo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,We Belong To No One.mp3,relax,Alternative,Devics,We Belong To No One,°µ°×ÍÇÃÒ,0.414,0.033,0.275,0.669,0.438,0.639,104.074,0.104,-10.826
43,WIND.MP3,happy,Abstract,Akeboshi,Wind,STONED TOWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,A Wolf At The Door.mp3,sad,unknown,Radiohead,A Wolf At The Door,Hail To The Thief,0.675,0.029,0.37,0.48,0.265,4.23E-06,138.784,0.235,-7.134
45,Train - Give It All.mp3,angry,unknown,unknown,Train - Give It All.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,Train - Angel In Blue Jeans.mp3,sad,unknown,unknown,Train - Angel In Blue Jeans.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,weezer-where-is-my-mind-pixies-cover.mp3,angry,Alternative,Nada Surf,Where Is My Mind,Pixies Tribute,0.532,0.0432,0.0414,0.474,0.00386,0.27,151.982,0.0805,-11.141
48,Never Fall in Love.mp3,sad,unknown,Emme Packer,Paper Thin (Never Fall in Love,µÚ¶þ´ÎÎÄÒÕ¸´ÐË,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,chris-Life After You.mp3,sad,Rock,Daughtry,Life After You,Leave This Town,0.764,0.0299,0.309,0.434,0.0534,0,51.316,0.437,-3.45
50,You.mp3,relax,ÆäËûÀà±ð¡¾Other Genre¡¿,The Afters,You,I Wish We All Could Win,0.756,0.036,0.434,0.549,0.369,0,121.961,0.0891,-4.752
51,Ariana Grande - Problem(Feat. Iggy Azalea).mp3,happy,unknown,unknown,Ariana Grande - Problem(Feat. Iggy Azalea).mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,with me.mp3,angry,Punk,Sum 41,With Me,Underclass Hero,0.859,0.0425,0.128,0.164,0.0112,0,175.118,0.179,-4.031
53,dizzy.mp3,sad,unknown,unknown,dizzy.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,white flag dido.mp3,relax,Rock,www.ttqqxiu.cn ÍÆ¼ö¸èÇú Dido,www.ttqqxiu.cn ÍÆ¼ö¸èÇú White Flag,µÙ¶äDido-Æ¯²´µÄÐÄLife For Rent,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,Almost Paradise.mp3,relax,unknown,Victoria Justice,Almost Paradise,Footloose (Original Motion Picture Soundtrack),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,No One s Gonna Love You.mp3,sad,Adult Contemporary,Kristina Train,No One's Gonna Love You,Dark Black,0.503,0.0316,0.343,0.473,0.417,0.00173,148.855,0.101,-9.774
57,Arctic Monkeys - Do I Wanna Know.mp3,angry,unknown,unknown,Arctic Monkeys - Do I Wanna Know.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,broken ones.mp3,sad,unknown,Jacquie Lee,Broken Ones,Broken Ones,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,Virginia To Vegas - Colourful.mp3,happy,Pop,unknown,Virginia To Vegas - Colourful.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,21guns-greenday.mp3,angry,unknown,unknown,Track 1,Unknown Album (þ06/þ08/þ2009 10:18:28),0.511,0.187,0.183,0.866,0.236,0.897,125.008,0.105,-10.436
61,Try Try Try-Jason Mraz.mp3,relax,unknown,unknown,Try Try Try-Jason Mraz.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,U2 - The Miracle(Of Joey Ramone).mp3,happy,unknown,unknown,U2 - The Miracle(Of Joey Ramone).mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,along the wall.mp3,sad,Pop,Leigh Nash,Along The Wall,Blue On Blue,0.578,0.0226,0.421,0.612,0.551,0.246,99.015,0.0835,-7.435
64,U2 - With Or Without You.mp3,sad,Rock,U2,With or Without You,U2 - the best of 1980-1990,0.432,0.0288,0.107,0.543,0.000207,0.369,110.196,0.146,-11.832
65,ariana grande - one last time.mp3,happy,unknown,unknown,ariana grande - one last time.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,Bruno Mars-Talking To The Moon.mp3,sad,Abstract,Bruno Mars,Talking To The Moon,It's Better If You Don't Under,0.606,0.0301,0.065,0.523,0.512,0,145.837,0.106,-4.754
67,Young for you.mp3,happy,Other,The gala,young for you,ÐÂ¸èËÙµÝ07Äê9ÔÂ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,The Weepies-Gotta Have You.mp3,relax,Abstract,The Weepies,Gotta Have You,Say I am you,0.363,0.0318,0.543,0.679,0.872,9.52E-05,75.004,0.0798,-10.9
69,celine dion - i surrender.mp3,angry,Other,freemp3depot.com,freemp3depot.com,zurnamp3.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,ariana grande - my everything.mp3,sad,unknown,unknown,ariana grande - my everything.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,U2 - Ordinary Love.mp3,happy,unknown,unknown,U2 - Ordinary Love.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,iggy azalea - impossible is nothing.mp3,angry,unknown,unknown,iggy azalea - impossible is nothing.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,Hello Saferide - I Dont Sleep Well.mp3,relax,unknown,Hello Saferide,I Dont Sleep Well,Introducing... Hello Saferide,0.216,0.03,0.341,0.273,0.881,0.0685,152.294,0.0622,-14.824
74,i'm sorry for the hating.mp3,sad,Indie,Fine China,I'm Sorry For the Hating,The Jaws of Life,0.533,0.0296,0.328,0.51,0.277,0,127.975,0.673,-5.127
75,OneRepublic - Everybody Loves Me.mp3,happy,Rock,OneRepublic,Everybody Loves Me,Everybody Loves Me - Single,0.902,0.0885,0.65,0.575,0.0532,0,170.121,0.0907,-5.697
76,fort minor - petrified.mp3,angry,General Hip Hop,Fort Minor,Petrified,The Rising Tied,0.962,0.107,0.525,0.874,0.201,0.000896,109.976,0.0458,-2.729
77,Mary Jane (Album Version).mp3,sad,unknown,The Click Five,Mary Jane (Album Version),Modern Minds And Pastimes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,The Drums - Down By The Water.mp3,angry,tsururadio,The Drums,Down By the Water,Summertime!,0.423,0.0256,0.297,0.31,0.654,0,79.817,0.142,-7.958
79,Justin Timberlake - Not A Bad Thing.mp3,happy,unknown,Justin Timberlake,Not a Bad Thing,Not a Bad Thing,0.729,0.0626,0.459,0.594,0.271,0,86.032,0.383,-5.774
80,Hello Saferide-Long Lost Penpal.mp3,relax,unknown,Hello Saferide,Long Lost Penpal,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,She will be loved.mp3,happy,Funk,Maroon 5,She Will Be Loved,ÎåºÅÖ½ÅÚÀÖÍÅMaroon 5-¸øÕäµÄ¸èSongs For Jane,0.684,0.0288,0.515,0.695,0.0593,0,102.041,0.125,-5.403
82,no one.mp3,happy,Unknown,Alicia Keys,No One (Curtis Lynch Reggae Re,No One,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,How Does It Feel.mp3,angry,Rock,avril lavigne,how does it feel,under my skin,0.583,0.026,0.339,0.646,0.0209,2.40E-06,118.055,0.119,-4.532
84,Lana Del Rey - West Coast.mp3,relax,unknown,unknown,Lana Del Rey - West Coast.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,everything you want.mp3,happy,unknown,Vertical Horizon,Everything You Want,unknown,0.759,0.0305,0.741,0.637,0.0504,0,93.898,0.0642,-6.389
86,miley cyrus - can't be tamed.mp3,angry,Other,Miley Cyrus,Can't Be Tamed,Can't Be Tamed,0.919,0.143,0.793,0.637,0.0359,0,116.987,0.22,-2.842
87,fort minor - get me gone.mp3,angry,unknown,unknown,fort minor - get me gone.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,lana del rey - young and beautiful.mp3,sad,unknown,unknown,lana del rey - young and beautiful.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,Sia - Chandelier.mp3,happy,unknown,unknown,Sia - Chandelier.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,Jason Mraz - 3 Things.mp3,relax,unknown,Jason Mraz,3 Things,3 Things,0.604,0.0365,0.71,0.645,0.217,0,100.026,0.286,-8.749
91,Lollipop.mp3,happy,unknown,Mika,Lollipop,Life In Cartoon Motion,0.596,0.0761,0.879,0.712,0.0302,3.32E-06,95.994,0.13,-5.31
92,Karmin - Sugar.mp3,happy,unknown,unknown,Karmin - Sugar.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,Lady GaGa&Rihanna-Animal.mp3,angry,unknown,Lady GaGa&Rihanna,Animal,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,The Black Keys - Fever.mp3,happy,Alternative,The Black Keys,Fever,Turn Blue,0.674,0.0355,0.743,0.609,0.00378,0.000302,127.541,0.129,-6.506
95,P!nk - Trouble.mp3,angry,unknown,Pink,Trouble,Greatest Hits...So Far!!! (Deluxe Version),0.932,0.0479,0.853,0.572,0.0068,0,135.522,0.491,-2.7
96,My Savior My God.mp3,sad,unknown,Aaron Shust,My Savior My God,Wow Worship [Purple],0.467,0.0241,0.241,0.563,0.0229,0,77.982,0.0945,-6.087
97,keep on walking.mp3,relax,Other,Jem,Keep On Walking,Down To Earth,0.775,0.059,0.612,0.553,0.399,0,177.818,0.335,-5.176
98,fort minor - degrees.mp3,angry,unknown,Fort Minor,100 Degrees - Fort Minor,We Major,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,Neon Trees - Everybody Talks.mp3,happy,Alternative,Neon Trees,Everybody Talks,Everybody Talks - Single,0.915,0.0652,0.703,0.478,0.00584,0,154.955,0.386,-3.858
100,shut up and drive.mp3,angry,Other,Ó¢ÎÄÈºÐÇ2,Shut Up And Drive,2007ÄêBillboard Hot100(CD2),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,fort minor - where'd you go.mp3,sad,Hip-Hop,Fort Minor,Where'd You Go (feat. Holly Brook and Jonah Matranga),The Rising Tied,0.819,0.238,0.25,0.684,0.262,0.00197,179.999,0.113,-3.309
102,fort minor - move on.mp3,happy,Hip Hop/Rap,"Mr.Hahn, Fort Minor",Move On,Fort Minor Militia EP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,Please shine.mp3,relax,Rock,We Shot The Moon,Please Shine,Fear And Love,0.318,0.0291,0.297,0.569,0.394,0,137.028,0.103,-8.663
104,Moriah Peters - Brave.mp3,happy,unknown,Moriah Peters,Brave,Brave,0.652,0.0389,0.508,0.449,0.256,1.33E-06,166.036,0.076,-4.401
105,Lainey Lou - Oceanside.mp3,relax,Pop,unknown,Oceanside,Melody Lane,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,Someone To Save You.mp3,sad,Indie,OneRepublic,Someone To Save You,Dreaming Out Loud,0.824,0.0353,0.67,0.311,0.0316,1.50E-06,174.029,0.216,-4.019
107,fort minor - be somebody.mp3,angry,unknown,Fort Minor(黑暗堡垒),Be Somebody,The Rising Tied 火线同盟 (访华影音震撼盘),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,Soulmate.mp3,sad,unknown,Natasha Bedingfield,Soulmate,Pocketful Of Sunshine (Deluxe,0.602,0.038,0.349,0.453,0.351,0,169.753,0.117,-5.56
109,fort minor - kenji.mp3,angry,Other,ºÚ°µ±¤ÀÝ,Kenji,The Rising Tied,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,OneRepublic - I Lived.mp3,happy,unknown,OneRepublic,I Lived,Native,0.85,0.0452,0.386,0.596,0.0728,0,119.985,0.26,-5.402
111,Eminem - Space Bound.mp3,sad,unknown,Eminem,Space Bound,Recovery,0.878,0.131,0.511,0.669,0.0406,0,142.035,0.48,-3.394
112,No Love feat Lil Wayne.mp3,angry,Rap,Eminem,No Love feat  Lil Wayne,DigitalDripped.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,Jessica Ashley - So Wrong.mp3,angry,unknown,unknown,Jessica Ashley - So Wrong.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,pedalo.mp3,relax,Other,The Heart Strings,Pedalo,Try Fly Blue Sky,0.342,0.038,0.452,0.849,0.616,0.031,99.009,0.0402,-8.717
115,family of the year - hero.mp3,relax,unknown,unknown,family of the year - hero.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,the i collapse-eminem.mp3,angry,Blues,unknown,the i collapse-eminem.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,shape of my heart.mp3,sad,Other,Sting,Shape Of My Heart(Õâ¸öÉ±ÊÖ²»Ì«Àä),unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,Rixton - Me And My Broken Heart.mp3,happy,unknown,unknown,Rixton - Me And My Broken Heart.mp3,unknown,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,gotye - somebody that i used to know.mp3,sad,unknown,Gotye,Somebody That I Used to Know,2011Äê7ÔÂÅ·ÃÀÐÂ¸èËÙµÝ,0.517,0.0384,0.754,0.857,0.565,0.000195,129.063,0.102,-6.972
