,song_name,class,genre,artist,title,album,sp_energy,sp_speechiness,sp_valence,sp_danceability,sp_acousticness,sp_instrumentalness,sp_tempo,sp_liveness,sp_loudness
25,what I've done.mp3,angry,Alternative,Linkin Park,What I've Done,Minutes To Midnight,0.93,0.0324,0.287,0.623,0.0141,1.64E-06,120.119,0.138,-5.285
29,"augustana - either way, i'll break your heart someday.mp3",sad,unknown,Augustana,"Either Way, I'll Break Your Heart Someday","Can't Love, Can't Hurt",0.619,0.034,0.218,0.444,0.0369,0,130.169,0.141,-4.913
31,Valentine.mp3,relax,unknown,Jessie Ware,Valentine,Devotion - The Gold Edition,0.453,0.0708,0.24,0.712,0.711,0.00445,152.984,0.0728,-12.278
35,05 Can't Stop Looking.mp3,angry,Rock,Cash Cash,Can't Stop Looking,Take It To The Floor,0.878,0.0517,0.592,0.669,0.064,0,119.973,0.674,-3.465
36,communication.mp3,sad,Rock/Pop,The Cardigans,Communication,¦Ï¤ò­m¦X°Û¹ÎThe Cardigans-¾¤©ú¤§«e,0.377,0.0281,0.129,0.491,0.299,0.00046,126.286,0.0802,-9.082
39,09 Two Days Old.mp3,angry,Rock,Cash Cash,Two Days Old,Take It To The Floor,0.916,0.0552,0.561,0.42,0.112,0,176.947,0.34,-3.145
40,04 Cash Cash.mp3,happy,Rock,Cash Cash,Cash Cash,Take It To The Floor,0.887,0.0365,0.343,0.65,0.0651,0.000344,108.026,0.282,-3.517
42,We Belong To No One.mp3,relax,Alternative,Devics,We Belong To No One,°µ°×ÍÇÃÒ,0.414,0.033,0.275,0.669,0.438,0.639,104.074,0.104,-10.826
44,A Wolf At The Door.mp3,sad,unknown,Radiohead,A Wolf At The Door,Hail To The Thief,0.675,0.029,0.37,0.48,0.265,4.23E-06,138.784,0.235,-7.134
47,weezer-where-is-my-mind-pixies-cover.mp3,angry,Alternative,Nada Surf,Where Is My Mind,Pixies Tribute,0.532,0.0432,0.0414,0.474,0.00386,0.27,151.982,0.0805,-11.141
49,chris-Life After You.mp3,sad,Rock,Daughtry,Life After You,Leave This Town,0.764,0.0299,0.309,0.434,0.0534,0,51.316,0.437,-3.45
50,You.mp3,relax,ÆäËûÀà±ð¡¾Other Genre¡¿,The Afters,You,I Wish We All Could Win,0.756,0.036,0.434,0.549,0.369,0,121.961,0.0891,-4.752
52,with me.mp3,angry,Punk,Sum 41,With Me,Underclass Hero,0.859,0.0425,0.128,0.164,0.0112,0,175.118,0.179,-4.031
56,No One s Gonna Love You.mp3,sad,Adult Contemporary,Kristina Train,No One's Gonna Love You,Dark Black,0.503,0.0316,0.343,0.473,0.417,0.00173,148.855,0.101,-9.774
60,21guns-greenday.mp3,angry,unknown,unknown,Track 1,Unknown Album (þ06/þ08/þ2009 10:18:28),0.511,0.187,0.183,0.866,0.236,0.897,125.008,0.105,-10.436
63,along the wall.mp3,sad,Pop,Leigh Nash,Along The Wall,Blue On Blue,0.578,0.0226,0.421,0.612,0.551,0.246,99.015,0.0835,-7.435
64,U2 - With Or Without You.mp3,sad,Rock,U2,With or Without You,U2 - the best of 1980-1990,0.432,0.0288,0.107,0.543,0.000207,0.369,110.196,0.146,-11.832
66,Bruno Mars-Talking To The Moon.mp3,sad,Abstract,Bruno Mars,Talking To The Moon,It's Better If You Don't Under,0.606,0.0301,0.065,0.523,0.512,0,145.837,0.106,-4.754
68,The Weepies-Gotta Have You.mp3,relax,Abstract,The Weepies,Gotta Have You,Say I am you,0.363,0.0318,0.543,0.679,0.872,9.52E-05,75.004,0.0798,-10.9
2,Hello Saferide - I Dont Sleep Well.mp3,relax,unknown,Hello Saferide,I Dont Sleep Well,Introducing... Hello Saferide,0.216,0.03,0.341,0.273,0.881,0.0685,152.294,0.0622,-14.824
3,i'm sorry for the hating.mp3,sad,Indie,Fine China,I'm Sorry For the Hating,The Jaws of Life,0.533,0.0296,0.328,0.51,0.277,0,127.975,0.673,-5.127
4,OneRepublic - Everybody Loves Me.mp3,happy,Rock,OneRepublic,Everybody Loves Me,Everybody Loves Me - Single,0.902,0.0885,0.65,0.575,0.0532,0,170.121,0.0907,-5.697
5,fort minor - petrified.mp3,angry,General Hip Hop,Fort Minor,Petrified,The Rising Tied,0.962,0.107,0.525,0.874,0.201,0.000896,109.976,0.0458,-2.729
7,The Drums - Down By The Water.mp3,angry,tsururadio,The Drums,Down By the Water,Summertime!,0.423,0.0256,0.297,0.31,0.654,0,79.817,0.142,-7.958
8,Justin Timberlake - Not A Bad Thing.mp3,happy,unknown,Justin Timberlake,Not a Bad Thing,Not a Bad Thing,0.729,0.0626,0.459,0.594,0.271,0,86.032,0.383,-5.774
10,She will be loved.mp3,happy,Funk,Maroon 5,She Will Be Loved,ÎåºÅÖ½ÅÚÀÖÍÅMaroon 5-¸øÕäµÄ¸èSongs For Jane,0.684,0.0288,0.515,0.695,0.0593,0,102.041,0.125,-5.403
12,How Does It Feel.mp3,angry,Rock,avril lavigne,how does it feel,under my skin,0.583,0.026,0.339,0.646,0.0209,2.40E-06,118.055,0.119,-4.532
14,everything you want.mp3,happy,unknown,Vertical Horizon,Everything You Want,unknown,0.759,0.0305,0.741,0.637,0.0504,0,93.898,0.0642,-6.389
15,miley cyrus - can't be tamed.mp3,angry,Other,Miley Cyrus,Can't Be Tamed,Can't Be Tamed,0.919,0.143,0.793,0.637,0.0359,0,116.987,0.22,-2.842
19,Jason Mraz - 3 Things.mp3,relax,unknown,Jason Mraz,3 Things,3 Things,0.604,0.0365,0.71,0.645,0.217,0,100.026,0.286,-8.749
20,Lollipop.mp3,happy,unknown,Mika,Lollipop,Life In Cartoon Motion,0.596,0.0761,0.879,0.712,0.0302,3.32E-06,95.994,0.13,-5.31
23,The Black Keys - Fever.mp3,happy,Alternative,The Black Keys,Fever,Turn Blue,0.674,0.0355,0.743,0.609,0.00378,0.000302,127.541,0.129,-6.506
24,P!nk - Trouble.mp3,angry,unknown,Pink,Trouble,Greatest Hits...So Far!!! (Deluxe Version),0.932,0.0479,0.853,0.572,0.0068,0,135.522,0.491,-2.7
25,My Savior My God.mp3,sad,unknown,Aaron Shust,My Savior My God,Wow Worship [Purple],0.467,0.0241,0.241,0.563,0.0229,0,77.982,0.0945,-6.087
26,keep on walking.mp3,relax,Other,Jem,Keep On Walking,Down To Earth,0.775,0.059,0.612,0.553,0.399,0,177.818,0.335,-5.176
28,Neon Trees - Everybody Talks.mp3,happy,Alternative,Neon Trees,Everybody Talks,Everybody Talks - Single,0.915,0.0652,0.703,0.478,0.00584,0,154.955,0.386,-3.858
30,fort minor - where'd you go.mp3,sad,Hip-Hop,Fort Minor,Where'd You Go (feat. Holly Brook and Jonah Matranga),The Rising Tied,0.819,0.238,0.25,0.684,0.262,0.00197,179.999,0.113,-3.309
32,Please shine.mp3,relax,Rock,We Shot The Moon,Please Shine,Fear And Love,0.318,0.0291,0.297,0.569,0.394,0,137.028,0.103,-8.663
33,Moriah Peters - Brave.mp3,happy,unknown,Moriah Peters,Brave,Brave,0.652,0.0389,0.508,0.449,0.256,1.33E-06,166.036,0.076,-4.401
35,Someone To Save You.mp3,sad,Indie,OneRepublic,Someone To Save You,Dreaming Out Loud,0.824,0.0353,0.67,0.311,0.0316,1.50E-06,174.029,0.216,-4.019
37,Soulmate.mp3,sad,unknown,Natasha Bedingfield,Soulmate,Pocketful Of Sunshine (Deluxe,0.602,0.038,0.349,0.453,0.351,0,169.753,0.117,-5.56
39,OneRepublic - I Lived.mp3,happy,unknown,OneRepublic,I Lived,Native,0.85,0.0452,0.386,0.596,0.0728,0,119.985,0.26,-5.402
40,Eminem - Space Bound.mp3,sad,unknown,Eminem,Space Bound,Recovery,0.878,0.131,0.511,0.669,0.0406,0,142.035,0.48,-3.394
43,pedalo.mp3,relax,Other,The Heart Strings,Pedalo,Try Fly Blue Sky,0.342,0.038,0.452,0.849,0.616,0.031,99.009,0.0402,-8.717
48,gotye - somebody that i used to know.mp3,sad,unknown,Gotye,Somebody That I Used to Know,2011Äê7ÔÂÅ·ÃÀÐÂ¸èËÙµÝ,0.517,0.0384,0.754,0.857,0.565,0.000195,129.063,0.102,-6.972
